Original_Serovar,curated_serovar,variant,other_serovar_info
"i 6,7:-1,5","i 6,7:-1,5",,
"I 6,7:e,h:-","I 6,7:e,h:-",,
"I 6,7:k:-","I 6,7:k:-",,
"I 6,7:nonmotile","I 6,7:-:-",,
"I 6,7:r:-","I 6,7:r:-",,
"I 6,7:rough:rough","I 6,7:-:-",,
"I 6,8:d:-","I 6,8:d:-",,
"I 6,8:d:- (monophasic)","I 6,8:d:-",,
"I 6,8:e,h:-","I 6,8:e,h:-",,
"I 6,8:i:-","I 6,8:i:-",,
"I 8,20: - :z6","I 8,20:-:z6",,
"I 8,20:y:-","I 8,20:y:-",,
"I 8:-:1,5","I 8:-:1,5",,
"I 8:y:1,5","I 8:y:1,5",,
"I 9,12,46:-","I 9,12,46:-",,
"I 9,12:-:-",Gallinarum,,
"I 9,12:nonmotile",Gallinarum,,
"I4,[5],12:i:-","I 4,[5],12:i:-",,
Ibadan,Ibadan,,
Idikan,Idikan,,
"II 28:r:e,n,z15","II 28:r:e,n,z15",,
"II 3,10:l,z28:1,5","II 3,10:l,z28:1,5",,
"II 3,10:z4,z24","II 3,10:z4,z24",,
II 42:r:- (Nairobi),II 42:r:-,Nairobi,
"II 42:z:1,5 (Detroit)","II 42:z:1,5",Detroit,
"II 47:b:1,5 (Phoenix)","II 47:b:1,5",Phoenix,
II 48:d:z6 (Hagenbeck),II 48:d:z6,Hagenbeck,
"II 48:g,m,t:- (Erlangen)","II 48:g,m,t:-",Erlangen,
II 50:Z10:Z6:Z42 (Hooggraven),II 50:Z10:Z6:Z42,Hooggraven,
"II 9,12,46:l,w:e,n,z15","II 9,12,46:l,w:e,n,z15",,
"II 9,12:z29:1,5","II 9,12:z29:1,5",,
"II 9,12:z29:1,5 (Canastel)","II 9,12:z29:1,5",Canastel,
"II 9,46:d:1,5","II 9,46:d:1,5",,
II O60:z10:z39,II 60:z10:z39,,
"III 16:z10:e,n,x,z15","III 16:z10:e,n,x,z15",,
"III 41:z4,z23:-","III 41:z4,z23:-",,
"III 44:z4,z32:-","III 44:z4,z32:-",,
III 50:r:z,III 50:r:z,,
III 60:r:z,III 60:r:z,,
"IIIa -:z4,z23:-","IIIa -:z4,z23:-",,
"IIIa 18:z4,z23:-","IIIa 18:z4,z23:-",,
"IIIa 18:z4,z32:-","IIIa 18:z4,z32:-",,
"IIIa 3,19:-:-","IIIa 3,19:-:-",,
IIIa 35,IIIa 35:-:-,,
"IIIa 35:z4,z23:-","IIIa 35:z4,z23:-",,
IIIa 40:z36:-,IIIa 40:z36:-,,
"IIIa 40:z4,z23:-","IIIa 40:z4,z23:-",,
"IIIa 41:z4,z23:-","IIIa 41:z4,z23:-",,
"IIIa 42:z4,z24:-","IIIa 42:z4,z24:-",,
"IIIa 48:g,z51:-","IIIa 48:g,z51:-",,
"IIIa 48:z4,z23,z32:-","IIIa 48:z4,z23,z32:-",,
"IIIa 48:z4,z23:-","IIIa 48:z4,z23:-",,
"IIIa 48:z4,z32:-","IIIa 48:z4,z32:-",,
"IIIa 9,12:-:1,5","IIIa 9,12:-:1,5",,
IIIb 11:k:z53,IIIb 11:k:z53,,
IIIb 35:i:z35,IIIb 35:i:z35,,
IIIb 47:k:z35,IIIb 47:k:z35,,
IIIb 48:i:z,IIIb 48:i:z,,
IIIb 58:r:-,IIIb 58:r:-,,
IIIb 58:z52:z35,IIIb 58:z52:z35,,
"IIIb 60:r:e,n,x,z15","IIIb 60:r:e,n,x,z15",,
"IIIb 60:r:e,n,z15","IIIb 60:r:e,n,z15",,
IIIb 61,IIIb 61:-:-,,
"IIIb 61:-:1,5,7","IIIb 61:-:1,5,7",,
"IIIb 61:l,[v],[z13]:1,5,[7]","IIIb 61:l,[v],[z13]:1,5,[7]",,
"IIIb 61:l,v","IIIb 61:l,v",,
"IIIb 61:l,v:1,5,7","IIIb 61:l,v:1,5,7",,
"IIIb 61:l,v:1,5,7:[z57]","IIIb 61:l,v:1,5,7:[z57]",,
"IIIb 61:l,z13:1,7","IIIb 61:l,z13:1,7",,
Ilala,Ilala,,
Ilugun,Ilugun,,
indiana,Indiana,,
Infantis,Infantis,,
Inganda,Inganda,,
Inpraw,Inpraw,,
Inverness,Inverness,,
Ipswich,Ipswich,,
Irumu,Irumu,,
Isangi,Isangi,,
Istanbul,Istanbul,,
Itami,Itami,,
Ituri,Ituri,,
"IV 11:z4,z23:- (Parera)","IV 11:z4,z23:-",,Parera
"IV 16:z4,z32:-","IV 16:z4,z32:-",,
"IV 16:z4,z32:- (Chameleon)","IV 16:z4,z32:-",,Chameleon
"IV 40:z4,z24:-","IV 40:z4,z24:-",,
"IV 40:z4,z32:-","IV 40:z4,z32:-",,
IV 43:z23:-,IV 43:z23:-,,
"IV 43:z4,z23:- (Houten)","IV 43:z4,z23:-",,Houten
"IV 44:z4, z32:-","IV 44:z4, z32:-",,
"IV 44:z4,z32:-","IV 44:z4,z32:-",,
"IV 50:g,z51:-","IV 50:g,z51:-",,
"IV 50:z4,z23:-","IV 50:z4,z23:-",,
"IV 50:z4,z23:- (Flint)","IV 50:z4,z23:-",,Flint
Jangwani,Jangwani,,
Java,Paratyphi B,Java,
Javiana,Javiana,,
Jedburgh,Jedburgh,,
Johannesburg,Johannesburg,,
Jukestown,Jukestown,,
Kalina,Kalina,,
Kambole,Kambole,,
Kedougou,Kedougou,,
Kentucky,Kentucky,,
Kenya,Kenya,,
Khami,"II 47:b:e,n,x,z15",,
Kiambu,Kiambu,,
Kibusi,Kibusi,,
Kimuenza,Kimuenza,,
Kingabwa,Kingabwa,,
Kingston,Kingston,,
Kintambo,Kintambo,,
Kirkee,Kirkee,,
Kisangani,Kisangani,,
Kisarawe,Kisarawe,,
Kohbu,Korbol,,
Kokomlemle,"II 47:b:e,n,x,z15",,Kokomlemle
Kottbus,Kottbus,,
Koumra,Koumra,,
Krefeld,Krefeld,,
Kua,Kua,,
Kumasi,Kumasi,,
Labadi,Labadi,,
Lagos,Lagos,,
Langensalza,Langensalza,,
Langford,Langford,,
Lanka,Weltevreden,15+,
Lansing,Lansing,,
Larochelle,Larochelle,,
Lattenkamp,Lattenkamp,,
Lerum,Lerum,,
Lexington,Lexington,,
"Lexington var O 15+,34+ (Illinois)",Lexington,"15+,34+",Illinois
Lexington var. O 15+ (Manila),Lexington,15+,Manila
Lille,Lille,,
Limete,Limete,,
Lingiwala,Lingwala,,
Lingwala,Lingwala,,
Litchfield,Litchfield,,
Liverpool,Liverpool,,
Livingstone,Livingstone,,
Livingtone var.14+,Livingstone,14+,
Llandoff,Llandoff,,
Lomalinda,Lomalinda,,
Lome,Lome,,
Lomita,Lomita,,
London,London,,
Loubomo,Loubomo,,
Louga,Louga,,
Luciana,Luciana,,
Luke,Luke,,
Maastricht,Maastricht,,
Madelia,Madelia,,
Madras,Madras,,
Magwa,Magwa,,
Malstatt,Malstatt,,
Manchester,Manchester,,
Manhattan,Manhattan,,
Manhatten,Manhattan,,
Maricopa,Maricopa,,
Marina,"IV 48:g,z51:-",,Marina
Maritzburg,Maritzburg,,
Marseille,Marseille,,
Martonos,Martonos,,
Matadi,Matadi,,
Mathura,Mathura,,
Matopeni,Matopeni,,
Mbadaka,Mbandaka,,
Mbandaka,Mbandaka,,
Mbandaka var. O:14 +,Mbandaka,14+,
Mbandaska,Mbandaka,,
Meleagridis,Meleagridis,,
"Meleagridis var. O 15+, var. O 34+",Meleagridis,"15+,34+",
Memphis,Memphis,,
Menden,Menden,,
Mendoza,Mendoza,,
Menston,Menston,,
Meunchen,Muenchen,,
Mgulani,Mgulani,,
Miami,Miami,,
Michigan,Michigan,,
Mikawasima,Mikawasima,,
Milwaukee,Milwaukee,,
Minneapolis,Anatum,"15+,35+",
Minnesota,Minnesota,,
Mishmarhaemek,Mishmarhaemek,,
Mississippi,Mississippi,,
Mkamba,Mkamba,,
Molade,Molade,,
Monschaui,Monschaui,,
Montevideo,Montevideo,,
Mountpleasant,Mountpleasant,,
Mpouto,Mpouto,,
muenchen,Muenchen,,
Muenster,Muenster,,
"Muenster var. O 15+, 34+ (Arkansas)",Muenster,"15+,34+",Arkansas
Nagoya,Nagoya,,
Nairobi,II 42:r:-,,Nairobi
Napoli,Napoli,,
Nchanga,Nchanga,,
Nchanga var. O:15 +,Nchanga,15+,
Nessziona,Nessziona,,
Neukoelln,Neukoelln,,
New-brunswick,Give,15+,Newbrunswick
Newington,Anatum,15+,
Newlands,Newlands,,
Newmexico,Newmexico,,
Newport,Newport,,
Nigeria,Nigeria,,
Nima,Nima,,
Norwich,Norwich,,
Nottingham,Nottingham,,
Noya,Noya,,
Nyborg,Nyborg,,
"O: 4,12,27:g,s,t,e,n,x","4,12,27:g,s,t,e,n,x",,
"O:11:g,z25:-","11:g,z25:-",,
O:14:r:z,14:r:z,,
"O:17:l,v:","17:l,v:",,
O:35:(K):z35,IIIb 35:(k):z35,,
"O:4,12,27:","4,12,27:-:-",,
"O:4,12,27:g,s,t :e,n,x","II 1,4,12,[27]:g,[m],[s],t:e,n,x",,
"O:6,7:m,s,t:e,n,x","6,7:m,s,t:e,n,x",,
"O:6,7:m,t:-","II 6,7:m,t:-",,
"O:6,7:m,t::-","II 6,7:m,t:-",,
"O:6,8:e,h:","I 6,8:e,h:-",,
"O:9,12:l,z28:","9,12:l,z28:-",,
"O:9,12:l,z28:1,5","Javiana|II 9,12:l,z28:1,5",,
"O1,13,22:i:-","V 1,13,22:i:-",,
"O1,40:z81:-","V 1,40:z81:-",,
"O1,40z35:-","V 1,40:z35:-",,
"O13,22:r:-","V 13,22:r:-",,
"O13,22:z39:-","V 13,22:z39:-",,
O44:r:-,V 44:r:-,,
O44:z39:-,V 44:z39:-,,
O48:b:-,V 48:b:-,,
O48:i:-,V 48:i:-,,
O48:z35:-,V 48:z35:-,,
O48:z39:-,V 48:z39:-,,
O48:z41:-,V 48:z41:-,,
O48:z65:-,V 48:z65:-,,
O48:z81:-,V 48:z81:-,,
O60:z41:-,V 60:z41:-,,
O61:z35:-,V 61:z35:-,,
O66:z35:-,V 66:z35:-,,
O66:z39:-,V 66:z39:-,,
O66:z65:-,V 66:z65:-,,
O66:z81:-,V 66:z81:-,,
Oakland,Oakland,,
Obogu,Obogu,,
Offa,Offa,,
Ohio,Ohio,,
Oldenburg,Oldenburg,,
Olten,Olten,,
Omderman,Amersfoort,14+,
Ona,Ona,,
Onarimon,Onarimon,,
Onderstepoort,Onderstepoort,,
Onireke,Onireke,,
Oranienberg,Oranienburg,,
Oranienburg,Oranienburg,,
Oranienburg (E1093),Oranienburg,,
Oranienburg var. O 14+ (Thielallee),Oranienburg,14+,Thielallee
Orientalis,Orientalis,,
Orion,Orion,,
Orion var. O 15+ (Binza),Orion,15+,Binza
"Orion var. O 15+,34+ (Thomasville)",Orion,"15+,34+",Thomasville
Oritamerin,Oritamerin,,
Oslo,Oslo,,
Othmarschen,Othmarschen,,
Ouakam,Ouakam,,
Overschie,Overschie,,
panama,Panama,,
Paratyphi A,Paratyphi A,,
Paratyphi B,Paratyphi B,,
Paratyphi B var Java,Paratyphi B,Java, L(+) tartrate +
Paratyphi B var L-tartrate+,Paratyphi B,Java, L(+) tartrate +
Paratyphi B var. L(+) tartrate +,Paratyphi B,Java, L(+) tartrate +
Paratyphi B var. L(+) tartrate + (Java),Paratyphi B,Java, L(+) tartrate +
"Paratyphi B, monophasic","I 1,4,[5],12:b:-",,
Paratyphi C,Paratyphi C,,
Paratyphi var Java,Paratyphi B,Java, L(+) tartrate +
Paratyphi_B_var._L-tartrate+,Paratyphi B,Java, L(+) tartrate +
Parera,"IV 11:z4,z23:-",,Parera
Pensacola,Pensacola,,
Perth,Perth,,
Plymouth,Plymouth,,
Poano,Poano,,
Pomona,Pomona,,
Poona,Poona,,
Portland,Portland,,
Postdam,Potsdam,,
Potsdam,Potsdam,,
Pretoria,Pretoria,,
Pullorum,Pullorum,Pullorum,
Putten,Putten,,
Quakam,Ouakam,,
Ramat-gan,Ramatgan,,
Ramatgan,Ramatgan,,
