Salmonella	Serogroup	Group	O Antigen	Shared H1 Probe	H Phase 1	H Phase 2	Other
Aprad	W	O:45 (W)	45		z10	-	
Balcones	W	O:45 (W)	45		z36	-	
Binningen	W	O:45 (W)	45	"g,s,t/g,t"	"g,s,t"	-	
IIIa	Y	O:48 (Y)1	48		"g,z51"	-	
IIIa	W	O:45 (W)	45		"z4,z23"	-	
IIIa	W	O:45 (W)	45		"z4,z24"	-	
IIIa	W	O:45 (W)	45		"z4,z32"	-	
IIIa	W	O:45 (W)	45		z36	-	
IV	Z	O:50 (Z)	50		"g,z51"	-	
IV	W	O:45 (W)	45		"z4,z23"	-	
IV	W	O:45 (W)	45		"z36,z38"	-	
Jodhpur	W	O:45 (W)	45		z29	-	[z45]
Transvaal	W	O:45 (W)	45		"z4,z24"	-	
Alexanderplatz	X	O:47 (X)	47		z38	-	
Ekpoui	X	O:47 (X)	47		z29	-	
IIIa	X	O:50 (Z)	50		"g,z51"	-	
IIIa	X	O:47 (X)	47		"z4,z23"	-	
IIIa	X	O:47 (X)	47		z29	-	
IIIb	X	O:47 (X)	47		z53	-	[z90]
IV	X	O:47 (X)	47	"l,v/l,z13"	"l,v"	-	
IV	X	O:47 (X)	47		z36	-	
Quinhon	X	O:47 (X)	47		z44	-	
Sljeme	X	O:47 (X)	"1,47"		"f,g"	-	
Tamberma	X	O:47 (X)	47		"z4,z24"	-	
Buckeye	Y	O:48 (Y)1	48		d	-	[z58]
Djakarta	Y	O:48 (Y)1	48		"z4,z24"	-	
II	Y	O:48 (Y)1	48		"g,m,t"	-	
II	Y	O:48 (Y)1	48		z29	-	
IIIa		O:51	51		"g,z51"	-	
IIIa	Y	O:48 (Y)1	48		"z4,z23"	-	
IIIa	Y	O:48 (Y)1	48		"z4,z23,z32"	-	
IIIa	Y	O:48 (Y)1	48		"z4,z24"	-	
IIIa	Y	O:48 (Y)1	48		"z4,z32"	-	
IIIa	Y	O:48 (Y)1	48		z29	-	
IIIa	Y	O:48 (Y)1	48		z36	-	
IV		O:53	53		"g,z51"	-	
IV	Y	O:48 (Y)1	48		"z4,z23"	-	
IV	Y	O:48 (Y)1	48		"z4,z32"	-	
IV	Y	O:48 (Y)1	48		z29	-	
IV	Y	O:48 (Y)1	48		"z36,[z38]"	-	
V	Y	O:48 (Y)1	48		b	-	
V	Y	O:48 (Y)1	48		z35	-	
V	Y	O:48 (Y)1	48		z39	-	
V	Y	O:48 (Y)1	48		z41	-	
V	Y	O:48 (Y)1	48		z65	-	
V	Y	O:48 (Y)1	48		z81	-	
IIIa		O:53	"1,53"		"g,z51"	-	
IIIa	Z	O:50 (Z)	50		"z4,z23"	-	
IIIa	Z	O:50 (Z)	50		"z4,z23,z32"	-	
IIIa	Z	O:50 (Z)	50		"z4,z24"	-	
IIIa	Z	O:50 (Z)	50		"z4,z32"	-	
IIIa	Z	O:50 (Z)	50		z29	-	
IIIa	Z	O:50 (Z)	50		z36	-	
IV	Z	O:50 (Z)	50		a	-	
IV	Z	O:50 (Z)	50		b	-	
IV	Z	O:50 (Z)	50		d	-	
IV		O:62	62		"g,z51"	-	
IV	Z	O:50 (Z)	50		"z4,z23"	-	
IV	Z	O:50 (Z)	50		"z4,z24"	-	
IV	Z	O:50 (Z)	50		"z4,z32"	-	
Ivorycoast	Z	O:50 (Z)	50		z29	-	
Djinten		O:51	51	mt/mptu	"m,t"	-	
II		O:51	51		c	-	
IIIa		O:63	63		"g,z51"	-	
IIIa		O:51	51		"z4,z23"	-	
IIIa		O:51	51		"z4,z24"	-	
IIIa		O:51	51		"z4,z32"	-	
IV		O:51	51		a	-	
IV		O:51	51		b	-	
IV		O:51	51		"z4,z23"	-	
II		O:52	52	"g,s,t/g,t"	"g,t"	-	
Saintemarie		O:52	52	"g,s,t/g,t"	"g,t"	-	
II		O:53	53		"z4,z24"	-	
IIIa	C1	O:7 (C1)	"6,7"		"g,z51"	-	
IIIa		O:53	53		"z4,z23"	-	
IIIa		O:53	53		"z4,z23,z32"	-	
IIIa		O:53	53		"z4,z24"	-	
IIIa		O:53	53		z29	-	
IV		O:53	53		"z4,z23"	-	
IV		O:53	"1,53"		"z36,z38"	-	
