Salmonella	Serogroup	Group	O Antigen	Shared H1 Probe	H Phase 1	H Phase 2	Other
Colobane	F	O:11 (F)	11		k	"1,7"	
Jalisco	F	O:11 (F)	11		y	"1,7"	
Maroua	F	O:11 (F)	11		z	"1,7"	
Toowong	F	O:11 (F)	11		a	"1,7"	
VI	F	O:11 (F)	11		b	"1,7"	
Bristol	G	O:13 (G)	"13,22"		z	"1,7"	
II	G	O:13 (G)	"13,22"		z39	"1,7"	
Myrria	G	O:13 (G)	"13,23"		i	"1,7"	
Rottnest	G	O:13 (G)	"1,13,22"		b	"1,7"	
Yarrabah	G	O:13 (G)	"13,23"		y	"1,7"	
Brunflo	I	O:16 (l)	16		r	"1,7"	
IIIb	I	O:16 (l)	16		z10	"1,7"	
Lingwala	I	O:16 (l)	16		z	"1,7"	
Nyeko	I	O:16 (l)	16		a	"1,7"	
Welikade	I	O:16 (l)	16	"l,v/l,z13"	"l,v"	"1,7"	
Wisbech	I	O:16 (l)	16		i	"1,7"	
Ahanou	J	O:17 (J)	17		i	"1,7"	
II	J	O:17 (J)	17		z	"1,7"	
Lancaster	J	O:17 (J)	17	"l,v/l,z13"	"l,v"	"1,7"	
Warri	J	O:17 (J)	17		k	"1,7"	
Cochise	K	O:18 (K)	18		b	"1,7"	
Troy	K	O:18 (K)	18		y	"1,7"	
Usumbura	K	O:18 (K)	"6,14,18"		d	"1,7"	
Babili	M	O:28 (M)	28		z35	"1,7"	
Bakau	M	O:28 (M)	28		a	"1,7"	
Banco	M	O:28 (M)	28	"r,i/r,[i]"	"r,i"	"1,7"	
Bokanjac	M	O:28 (M)	28		b	"1,7"	
Dieuppeul	M	O:28 (M)	28		i	"1,7"	
Ezra	M	O:28 (M)	28		z	"1,7"	
Halle	M	O:28 (M)	28		c	"1,7"	
II	M	O:28 (M)	28		"e,n,x"	"1,7"	
IIIb	M	O:28 (M)	28		k	"1,7"	
Kpeme	M	O:28 (M)	28		"e,h"	"1,7"	
Malaysia	M	O:28 (M)	28		z10	"1,7"	
Mundonobo	M	O:28 (M)	28		d	"1,7"	
Coquilhatville	E	"O:3,10 (E1)"	"3,10"		z10	"1,7"	
Elisabethville	E	"O:3,10 (E1)"	"3,{10}{15}"		r	"1,7"	
Huddinge	E	"O:3,10 (E1)"	"3,10"		z	"1,7"	
Huvudsta	E	"O:3,10 (E1)"	"3,{10}{15,34}"		b	"1,7"	
II	E	"O:3,10 (E1)"	"3,10"		"e,n,x"	"1,7"	
Joal	E	"O:3,10 (E1)"	"3,10"		"l,z28"	"1,7"	
Mokola	E	"O:3,10 (E1)"	"3,10"		y	"1,7"	
Nyborg	E	"O:3,10 (E1)"	"3,{10}{15}"		"e,h"	"1,7"	
Onireke	E	"O:3,10 (E1)"	"3,10"		d	"1,7"	
Pietersburg	E	"O:3,10 (E1)"	"3,{10}{15,34}"		z69	"1,7"	
Pramiso	E	"O:3,10 (E1)"	"3,10"		c	"1,7"	
Serrekunda	E	"O:3,10 (E1)"	"3,10"		k	"1,7"	
Truro	E	"O:3,10 (E1)"	"3,10"		i	"1,7"	
Zongo	E	"O:3,10 (E1)"	"3,10"		z35	"1,7"	
II	N	O:30 (N)	30		z39	"1,7"	
Tempe	N	O:30 (N)	30		b	"1,7"	[z33]
Zaire	N	O:30 (N)	30		c	"1,7"	
Schwarzengrund	B	O:4 (B)	"1,4,12,27"		d	"1,7"	
Indiana	B	O:4 (B)	"1,4,12"		z	"1,7"	
Carrau	H	"O:6,14 (H)"	"6,14,[24]"		y	"1,7"	
Bredeney	B	O:4 (B)	"1,4,12,27"	"l,v/l,z13"	"l,v"	"1,7"	[z40]
Colindale	C1	O:7 (C1)	"6,7"		r	"1,7"	
Arechavaleta	B	O:4 (B)	"4,[5],12"		a	"1,7"	
Florida	H	"O:6,14 (H)"	"[1],6,14,[25]"		d	"1,7"	
Madelia	H	"O:6,14 (H)"	"1,6,14,25"		y	"1,7"	
Gatow	C1	O:7 (C1)	"6,7"		y	"1,7"	
Beaudesert	H	"O:6,14 (H)"	"[1],6,14,[25]"		"e,h"	"1,7"	
Belfast	C2-C3	O:8 (C2-C3)	"6,8"		c	"1,7"	
Manchester	C2-C3	O:8 (C2-C3)	"6,8"	"l,v/l,z13"	"l,v"	"1,7"	
Benin	A/D	"O:9,46 (D2)"	"9,46"		y	"1,7"	
Bethune	E	"O:1,3,19 (E4)"	"1,3,19"		k	"1,7"	
II	Q	O:39 (Q)	39		"e,n,x"	"1,7"	
II	Q	O:39 (Q)	39		-	"1,7"	
Altendorf	B	O:4 (B)	"4,12,[27]"		c	"1,7"	
II	B	O:4 (B)	"4,12"		z	"1,7"	
Kaapstad	B	O:4 (B)	"4,12"		"e,h"	"1,7"	
Kubacha	B	O:4 (B)	"1,4,12,27"		"l,z13,z28"	"1,7"	
Remo	B	O:4 (B)	"1,4,12,27"		r	"1,7"	
Tafo	B	O:4 (B)	"1,4,12,27"		z35	"1,7"	
Teddington	B	O:4 (B)	"1,4,12,27"		y	"1,7"	
Uppsala	B	O:4 (B)	"1,4,12,27"		b	"1,7"	
II	R	O:40 (R) 	40		z39	"1,7"	
Salinas	R	O:40 (R) 	40		a	"1,7"	
Saugus	R	O:40 (R) 	40		b	"1,7"	
Bofflens	S	O:41 (S)	41		"z4,z23"	"1,7"	
Konongo	S	O:41 (S)	41		r	"1,7"	
VI	S	O:41 (S)	41		b	"1,7"	
Guinea	V	O:44 (V)	"1,44"		z10	"1,7"	
Casablanca	W	O:45 (W)	45		k	"1,7"	
II	Z	O:50 (Z)	50		"e,n,x"	"1,7"	
II	Z	O:50 (Z)	50		z42	"1,7"	
II		O:51	51		-	"1,7"	
Derkle		O:52	52		"e,h"	"1,7"	
II		O:56	56		"e,n,x"	"1,7"	
Maryland		O:57	57		b	"1,7"	
Amberg	H	"O:6,14 (H)"	"6,14,24"	"l,v/l,z13"	"l,v"	"1,7"	
Boecker	H	"O:6,14 (H)"	"[1],6,14,[25]"	"l,v/l,z13"	"l,v"	"1,7"	
Buzu	H	"O:6,14 (H)"	"[1],6,14,[25]"		i	"1,7"	
Midway	H	"O:6,14 (H)"	"6,14,24"		d	"1,7"	
Tucson	H	"O:6,14 (H)"	"[1],6,14,[25]"		b	"1,7"	
Alamo	B	O:4 (B)	"4,[5],12"		"g,z51"	"1,7"	
Austin	C1	O:7 (C1)	"6,7"		a	"1,7"	
Baiboukoum	C1	O:7 (C1)	"6,7"		k	"1,7"	
II	C1	O:7 (C1)	"6,7"		z6	"1,7"	
Kortrijk	C1	O:7 (C1)	"6,7"	"l,v/l,z13"	"l,v"	"1,7"	
Koumra	C1	O:7 (C1)	"6,7"		b	"1,7"	
Lika	C1	O:7 (C1)	"6,7"		i	"1,7"	
Ngili	C1	O:7 (C1)	"6,7"		z10	"1,7"	
Nola	C1	O:7 (C1)	"6,7"		"e,h"	"1,7"	
Schwabach	C1	O:7 (C1)	"6,7"		c	"1,7"	
Strathcona	C1	O:7 (C1)	"6,7"		"l,z13,z28"	"1,7"	
VI	C1	O:7 (C1)	"6,7"		z41	"1,7"	
Akanji	C2-C3	O:8 (C2-C3)	"6,8"		r	"1,7"	
Alagbon	C2-C3	O:8 (C2-C3)	"8,20"		y	"1,7"	
Atakpame	C2-C3	O:8 (C2-C3)	"8,20"		"e,h"	"1,7"	
Bellevue	C2-C3	O:8 (C2-C3)	8		"z4,z23"	"1,7"	
Cleveland	C2-C3	O:8 (C2-C3)	"6,8"		z10	"1,7"	
Dunkwa	C2-C3	O:8 (C2-C3)	"6,8"		d	"1,7"	
Eboko	C2-C3	O:8 (C2-C3)	"6,8"		b	"1,7"	
II	C2-C3	O:8 (C2-C3)	"6,8"		"g,m,t"	"1,7"	
Inchpark	C2-C3	O:8 (C2-C3)	"6,8"		y	"1,7"	
Lezennes	C2-C3	O:8 (C2-C3)	"6,8"		"z4,z23"	"1,7"	
Malmoe	C2-C3	O:8 (C2-C3)	"6,8"		i	"1,7"	
Marmande	C2-C3	O:8 (C2-C3)	"6,8"		z	"1,7"	
Nordufer	C2-C3	O:8 (C2-C3)	"6,8"		a	"1,7"	
Noya	C2-C3	O:8 (C2-C3)	8		r	"1,7"	
Portanigra	C2-C3	O:8 (C2-C3)	"8,20"		d	"1,7"	
Sanga	C2-C3	O:8 (C2-C3)	8		b	"1,7"	
Bata	A/D	O:9 (D1)	"9,12"		b	"1,7"	
Camberwell	A/D	O:9 (D1)	"9,12"		r	"1,7"	
Elokate	A/D	O:9 (D1)	"9,12"		c	"1,7"	
Eschberg	A/D	O:9 (D1)	"9,12"		d	"1,7"	
II	A/D	O:9 (D1)	"1,9,12"		z	"1,7"	
II	A/D	O:9 (D1)	"1,9,12"		z39	"1,7"	
Kapemba	A/D	O:9 (D1)	"9,12"	"l,v/l,z13"	"l,v"	"1,7"	[z40]
Miyazaki	A/D	O:9 (D1)	"9,12"	"l,v/l,z13"	"l,z13"	"1,7"	
Powell	A/D	O:9 (D1)	"9,12"		y	"1,7"	
Saarbruecken	A/D	O:9 (D1)	"1,9,12"		a	"1,7"	
Westafrica	A/D	O:9 (D1)	"9,12"		"e,h"	"1,7"	
Argenteuil	A/D	"O:9,46 (D2)"	"1,9,46"		c	"1,7"	
Deckstein	A/D	"O:9,46 (D2)"	"9,46"		r	"1,7"	
II	A/D	"O:9,46 (D2)"	"9,46"		z39	"1,7"	
Lishabi	A/D	"O:9,46 (D2)"	"9,46"		z10	"1,7"	
Strasbourg	A/D	"O:9,46 (D2)"	"9,46"		d	"1,7"	
Brevik	I	O:16 (l)	16		z	"e,n,[x],z15"	
Odozi	N	O:30 (N)	30		k	"e,n,[x],z15"	
Hvittingfoss	I	O:16 (l)	16		b	"e,n,x"	
Urbana	N	O:30 (N)	30		b	"e,n,x"	
Rubislaw	F	O:11 (F)	11		r	"e,n,x"	
Minnesota	L	O:21 (L)	21		b	"e,n,x"	"[z33],[z49]"
Tambacounda	E	"O:1,3,19 (E4)"	"1,3,19"		b	"e,n,x"	
Barranquilla	I	O:16 (l)	16		d	"e,n,x"	
Carmel	J	O:17 (J)	17	"l,v/l,z13"	"l,v"	"e,n,x"	
Matadi	J	O:17 (J)	17		k	"e,n,x"	
Vitkin	M	O:28 (M)	28	"l,v/l,z13"	"l,v"	"e,n,x"	
Telhashomer	F	O:11 (F)	11		z10	"e,n,x"	
Ruiru	L	O:21 (L)	21		y	"e,n,x"	
Kindia	E	"O:1,3,19 (E4)"	"1,3,19"		"l,z28"	"e,n,x"	
Kinson	E	"O:1,3,19 (E4)"	"1,3,19"		y	"e,n,x"	
Machaga	E	"O:1,3,19 (E4)"	"1,3,19"		i	"e,n,x"	
Fann	F	O:11 (F)	11	"l,v/l,z13"	"l,v"	"e,n,x"	
Herzliya	F	O:11 (F)	11		y	"e,n,x"	
II	F	O:11 (F)	11	mt/mptu	"m,t"	"e,n,x"	
II	F	O:11 (F)	11		"l,z28"	"e,n,x"	
II	F	O:11 (F)	11		z	"e,n,x"	
Osnabrueck	F	O:11 (F)	11		"l,z13,z28"	"e,n,x"	
Veneziana	F	O:11 (F)	11		i	"e,n,x"	
VI	F	O:11 (F)	11		b	"e,n,x"	
Woodinville	F	O:11 (F)	11		c	"e,n,x"	
II	G	O:13 (G)	"13,22"		a	"e,n,x"	
II	G	O:13 (G)	"13,23"		d	"e,n,x"	
II	G	O:13 (G)	"13,23"	"g,s,t/g,t"	"g,t"	"e,n,x"	
II	G	O:13 (G)	"1,13,23"	mt/mptu	"m,t"	"e,n,x"	
II	G	O:13 (G)	"13,23"		"l,w"	"e,n,x"	
II	G	O:13 (G)	"13,22"		z29	"e,n,x"	
II	G	O:13 (G)	"1,13,23"		z29	"e,n,x"	
Raus	G	O:13 (G)	"13,22"		"f,g"	"e,n,x"	
Ullevi	G	O:13 (G)	"1,13,23"		b	"e,n,x"	
Annedal	I	O:16 (l)	16	"r,i/r,[i]"	"r,i"	"e,n,x"	
Brooklyn	I	O:16 (l)	16		"l,w"	"e,n,x"	
II	I	O:16 (l)	16		b	"e,n,x"	
II	I	O:16 (l)	16		d	"e,n,x"	
II	I	O:16 (l)	16	mt/mptu	"m,t"	"e,n,x"	
II	I	O:16 (l)	16		z	"e,n,x"	
II	I	O:16 (l)	16		z29	"e,n,x"	
II	I	O:16 (l)	16		z35	"e,n,x"	
Kassel	I	O:16 (l)	16		z	"e,n,x"	
Kikoma	I	O:16 (l)	16		y	"e,n,x"	
Koblenz	I	O:16 (l)	16		"l,z13,z28"	"e,n,x"	
Nuatja	I	O:16 (l)	16		k	"e,n,x"	
Rhydyfelin	I	O:16 (l)	16		"e,h"	"e,n,x"	
Salford	I	O:16 (l)	16	"l,v/l,z13"	"l,v"	"e,n,x"	
Shamba	I	O:16 (l)	16		c	"e,n,x"	
Togba	I	O:16 (l)	16		a	"e,n,x"	
Djibouti	J	O:17 (J)	17		z10	"e,n,x"	
Granlo	J	O:17 (J)	17		"l,z28"	"e,n,x"	
Kinondoni	J	O:17 (J)	17		a	"e,n,x"	
Mattenhof	J	O:17 (J)	17		b	"e,n,x"	
Tendeba	J	O:17 (J)	17		y	"e,n,x"	
Rawash	K	O:18 (K)	"6,14,18"		c	"e,n,x"	
Good	L	O:21 (L)	21		"f,g"	"e,n,x"	
II	L	O:21 (L)	21		c	"e,n,x"	
Magwa	L	O:21 (L)	21		d	"e,n,x"	
Rhone	L	O:21 (L)	21		c	"e,n,x"	
Dresden	M	O:28 (M)	28		c	"e,n,x"	
Fajara	M	O:28 (M)	28		"l,z28"	"e,n,x"	
II	M	O:28 (M)	28		a	"e,n,x"	
II	M	O:28 (M)	28		b	"e,n,x"	
II	M	O:28 (M)	28		"g,m,t"	"e,n,x"	
II	M	O:28 (M)	28	"g,s,t/g,t"	"g,s,t"	"e,n,x"	
II	M	O:28 (M)	28		"l,z28"	"e,n,x"	
II	M	O:28 (M)	28		z29	"e,n,x"	
Kibusi	M	O:28 (M)	28		r	"e,n,x"	
Kitenge	M	O:28 (M)	28		y	"e,n,x"	
Mocamedes	M	O:28 (M)	28		d	"e,n,x"	
Seattle	M	O:28 (M)	28		a	"e,n,x"	
Soumbedioune	M	O:28 (M)	28		b	"e,n,x"	
Taunton	M	O:28 (M)	28		k	"e,n,x"	
Umbilo	M	O:28 (M)	28		z10	"e,n,x"	
Warnemuende	M	O:28 (M)	28		i	"e,n,x"	
Alfort	E	"O:3,10 (E1)"	"3,10"		"f,g"	"e,n,x"	
Benfica	E	"O:3,10 (E1)"	"3,10"		b	"e,n,x"	
Bessi	E	"O:3,10 (E1)"	"3,10"		i	"e,n,x"	
Everleigh	E	"O:3,10 (E1)"	"3,10"		z29	"e,n,x"	
II	E	"O:3,10 (E1)"	"3,10"		a	"e,n,x"	
II	E	"O:3,10 (E1)"	"3,10"		b	"e,n,x"	
II	E	"O:3,10 (E1)"	"3,10"		d	"e,n,x"	
II	E	"O:3,10 (E1)"	"3,10"	mt/mptu	"m,t"	"e,n,x"	
II	E	"O:3,10 (E1)"	"3,10"	"l,v/l,z13"	"l,v"	"e,n,x"	
II	E	"O:3,10 (E1)"	"3,10"		"l,z28"	"e,n,x"	
II	E	"O:3,10 (E1)"	"3,10"		z	"e,n,x"	
Lamin	E	"O:3,10 (E1)"	"3,10"		"l,z28"	"e,n,x"	
Masembe	E	"O:3,10 (E1)"	"3,10"		a	"e,n,x"	
Newlands	E	"O:3,10 (E1)"	"3,{10}{15,34}"		"e,h"	"e,n,x"	
Ohlstedt	E	"O:3,10 (E1)"	"3,{10}{15}"		y	"e,n,x"	
Podiensis	E	"O:3,10 (E1)"	"3,10"		z10	"e,n,x"	
Souza	E	"O:3,10 (E1)"	"3,{10}{15}"		d	"e,n,x"	
Yundum	E	"O:3,10 (E1)"	"3,10"		k	"e,n,x"	
Angoda	N	O:30 (N)	30		k	"e,n,x"	
Baguirmi	N	O:30 (N)	30		y	"e,n,x"	
Guarapiranga	N	O:30 (N)	30		a	"e,n,x"	
II	N	O:30 (N)	30		"g,m,s"	"e,n,x"	
II	O	O:35 (O)	35		z29	"e,n,x"	
Hadar	C2-C3	O:8 (C2-C3)	"6,8"		z10	"e,n,x"	
Hartford	C1	O:7 (C1)	"6,7"		y	"e,n,x"	[z67]
Chester	B	O:4 (B)	"1,4,[5],12"		"e,h"	"e,n,x"	
Oslo	C1	O:7 (C1)	"6,7,14"		a	"e,n,x"	
Istanbul	C2-C3	O:8 (C2-C3)	8		z10	"e,n,x"	
Johannesburg	R	O:40 (R) 	"1,40"		b	"e,n,x"	
Singapore	C1	O:7 (C1)	"6,7"		k	"e,n,x"	
Bonariensis	C2-C3	O:8 (C2-C3)	"6,8"		i	"e,n,x"	
Gatuni	C2-C3	O:8 (C2-C3)	"6,8"		b	"e,n,x"	
Napoli	A/D	O:9 (D1)	"1,9,12"	"l,v/l,z13"	"l,z13"	"e,n,x"	
Lomalinda	A/D	O:9 (D1)	"1,9,12"		a	"e,n,x"	
Baildon	A/D	"O:9,46 (D2)"	"9,46"		a	"e,n,x"	
Bonn	C1	O:7 (C1)	"6,7"	"l,v/l,z13"	"l,v"	"e,n,x"	
Kimuenza	B	O:4 (B)	"1,4,12,27"	"l,v/l,z13"	"l,v"	"e,n,x"	
Holcomb	C2-C3	O:8 (C2-C3)	"6,8"	"l,v/l,z13"	"l,v"	"e,n,x"	
Abony	B	O:4 (B)	"1,4,[5],12,[27]"		b	"e,n,x"	
Bispebjerg	B	O:4 (B)	"1,4,[5],12"		a	"e,n,x"	
Drac	X	O:47 (X)	47	"l,v/l,z13"	"l,v"	"e,n,x"	
Sundsvall	H	"O:6,14 (H)"	"[1],6,14,[25]"		z	"e,n,x"	
Fillmore	C2-C3	O:8 (C2-C3)	"6,8"		"e,h"	"e,n,x"	
Cannonhill	E	"O:1,3,19 (E4)"	"1,3,{10}{15},19"		y	"e,n,x"	
Njala	P	O:38 (P)	38		k	"e,n,x"	
Perth	P	O:38 (P)	38		y	"e,n,x"	
Roan	P	O:38 (P)	38	"l,v/l,z13"	"l,v"	"e,n,x"	
Cumberland	Q	O:39 (Q)	39		i	"e,n,x"	
II	Q	O:39 (Q)	39		c	"e,n,x"	
II	Q	O:39 (Q)	39		"l,z28"	"e,n,x"	
Kokomlemle	Q	O:39 (Q)	39	"l,v/l,z13"	"l,v"	"e,n,x"	
Newjersey	Q	O:39 (Q)	39		k	"e,n,x"	
Abortusequi	B	O:4 (B)	"4,12"		-	"e,n,x"	
Albert	B	O:4 (B)	"4,12"		z10	"e,n,x"	
Ball	B	O:4 (B)	"1,4,[5],12,[27]"		y	"e,n,x"	
Bissau	B	O:4 (B)	"4,12"		c	"e,n,x"	
Farsta	B	O:4 (B)	"4,12"		i	"e,n,x"	
II	B	O:4 (B)	"1,4,[5],12,[27]"		a	"e,n,x"	
II	B	O:4 (B)	"4,12"		d	"e,n,x"	
II	B	O:4 (B)	"1,4,12,[27]"		"g,[m],[s],t"	"e,n,x"	
II	B	O:4 (B)	"1,4,12,27"	"l,v/l,z13"	"l,v"	"e,n,x"	
II	B	O:4 (B)	"4,12"		"l,w"	"e,n,x"	
II	B	O:4 (B)	"1,4,12,27"		z	"e,n,x"	
II	B	O:4 (B)	"1,4,12"		z29	"e,n,x"	
Kano	B	O:4 (B)	"1,4,12,27"		"l,z13,z28"	"e,n,x"	
Ljubljana	B	O:4 (B)	"4,12,27"		k	"e,n,x"	
Neftenbach	B	O:4 (B)	"4,12"		z	"e,n,x"	
Reinickendorf	B	O:4 (B)	"4,12"		"l,z28"	"e,n,x"	
Sarajane	B	O:4 (B)	"1,4,[5],12,[27]"		d	"e,n,x"	
Athens	R	O:40 (R) 	"1,40"		"g,m,s"	"e,n,x"	
Casamance	R	O:40 (R) 	40		z	"e,n,x"	
Hann	R	O:40 (R) 	40		k	"e,n,x"	
II	R	O:40 (R) 	"1,40"		"g,[m],[s],[t]"	"e,n,x"	
II	R	O:40 (R) 	40	mt/mptu	"m,t"	"e,n,x"	
II	R	O:40 (R) 	40	"l,v/l,z13"	"l,v"	"e,n,x"	
II	R	O:40 (R) 	40		"l,z28"	"e,n,x"	
II	R	O:40 (R) 	40		z10	"e,n,x"	
Inpraw	S	O:41 (S)	41		z10	"e,n,x"	
II	T	O:42 (T)	"1,42"		"l,w"	"e,n,x"	
II	U	O:43 (U)	43		"g,z62"	"e,n,x"	
II	U	O:43 (U)	43		z29	"e,n,x"	
Voulte	U	O:43 (U)	43		i	"e,n,x"	
Bolama	V	O:44 (V)	44		z	"e,n,x"	
Elbeuf	V	O:44 (V)	44		b	"e,n,x"	
II	V	O:44 (V)	44		z29	"e,n,x"	z42
Kermel	V	O:44 (V)	44		d	"e,n,x"	
Llobregat	V	O:44 (V)	"1,44"		z10	"e,n,x"	
Tiergarten	V	O:44 (V)	44		a	"e,n,x"	
Deversoir	W	O:45 (W)	45		c	"e,n,x"	
II	W	O:45 (W)	45		"g,m,s,t"	"e,n,x"	
II	W	O:45 (W)	45		z29	"e,n,x"	
Karachi	W	O:45 (W)	45		d	"e,n,x"	
VI	W	O:45 (W)	45		a	"e,n,x"	
Blitta	X	O:47 (X)	47		y	"e,n,x"	
II	X	O:47 (X)	47		"[g,t]"	"e,n,x"	
Stellingen	X	O:47 (X)	47		d	"e,n,x"	[z58]
Isaszeg	Y	O:48 (Y)1	48		z10	"e,n,x"	
II	Z	O:50 (Z)	50		"g,z62"	"e,n,x"	
II	Z	O:50 (Z)	50		k	"e,n,x"	z42
II	Z	O:50 (Z)	50		z	"e,n,x"	
Rochdale	Z	O:50 (Z)	50		b	"e,n,x"	
Dadzie		O:51	51	"l,v/l,z13"	"l,v"	"e,n,x"	
II		O:51	51	"g,s,t/g,t"	"g,s,t"	"e,n,x"	
Tione		O:51	51		a	"e,n,x"	
Flottbek		O:52	52		b	"e,n,x"	
II		O:53	53		"l,z28"	"e,n,x"	
Canton		O:54	54		z10	"e,n,x"	
Tonev		O:54	"21,54"		b	"e,n,x"	
II		O:56	56		z10	"e,n,x"	
Aflao	H	"O:6,14 (H)"	"1,6,14,25"		"l,z28"	"e,n,x"	
Charity	H	"O:6,14 (H)"	"[1],6,14,[25]"		d	"e,n,x"	
Fischerkietz	H	"O:6,14 (H)"	"1,6,14,25"		y	"e,n,x"	
Horsham	H	"O:6,14 (H)"	"1,6,14,[25]"	"l,v/l,z13"	"l,v"	"e,n,x"	
II	H	"O:6,14 (H)"	"6,14"	mt/mptu	"m,t"	"e,n,x"	
II	H	"O:6,14 (H)"	"6,14"		k	"e,n,x"	
IIIb	H	"O:6,14 (H)"	"(6),14"		b	"e,n,x"	
Lindern	H	"O:6,14 (H)"	"6,14,[24]"		d	"e,n,x"	
Runby	H	"O:6,14 (H)"	"1,6,14,25"		c	"e,n,x"	
Soahanina	H	"O:6,14 (H)"	"6,14,24"		z	"e,n,x"	
VI	H	"O:6,14 (H)"	"[1],6,14,[25]"		a	"e,n,x"	
II		O:60	60		z	"e,n,x"	
II		O:60	60		z29	"e,n,x"	
Afula	C1	O:7 (C1)	"6,7"		"f,g,t"	"e,n,x"	
Amersfoort	C1	O:7 (C1)	"6,7,14"		d	"e,n,x"	
Cayar	C1	O:7 (C1)	"6,7"		z	"e,n,x"	
Djugu	C1	O:7 (C1)	"6,7"		z10	"e,n,x"	
II	C1	O:7 (C1)	"6,7"		"g,m,[s],t"	"e,n,x"	
II	C1	O:7 (C1)	"6,7"		"l,z28"	"e,n,x"	
II	C1	O:7 (C1)	"6,7"		z	"e,n,x"	
Kenya	C1	O:7 (C1)	"6,7"	"l,v/l,z13"	"l,z13"	"e,n,x"	
Lockleaze	C1	O:7 (C1)	"6,7,14"		b	"e,n,x"	
Namibia	C1	O:7 (C1)	"6,7"		c	"e,n,x"	
Belem	C2-C3	O:8 (C2-C3)	"6,8"		c	"e,n,x"	
Breda	C2-C3	O:8 (C2-C3)	"6,8"		"z4,z23"	"e,n,x"	
Daarle	C2-C3	O:8 (C2-C3)	"6,8"		y	"e,n,x"	
II	C2-C3	O:8 (C2-C3)	"6,8"		a	"e,n,x"	
II	C2-C3	O:8 (C2-C3)	"6,8"	mt/mptu	"m,t"	"e,n,x"	
II	C2-C3	O:8 (C2-C3)	"6,8"	"l,v/l,z13"	"l,v"	"e,n,x"	
II	C2-C3	O:8 (C2-C3)	"6,8"		"l,z28"	"e,n,x"	
II	C2-C3	O:8 (C2-C3)	"6,8"		z29	"e,n,x"	z42
II	C2-C3	O:8 (C2-C3)	"6,8"		z29	"e,n,x"	
Konstanz	C2-C3	O:8 (C2-C3)	8		b	"e,n,x"	
Narashino	C2-C3	O:8 (C2-C3)	"6,8"		a	"e,n,x"	
Santiago	C2-C3	O:8 (C2-C3)	"8,20"		c	"e,n,x"	
Schwerin	C2-C3	O:8 (C2-C3)	"6,8"		k	"e,n,x"	
Sterrenbos	C2-C3	O:8 (C2-C3)	"6,8"		d	"e,n,x"	
Sunnycove	C2-C3	O:8 (C2-C3)	8		y	"e,n,x"	
II	A/D	O:9 (D1)	"1,9,12"		a	"e,n,x"	
II	A/D	O:9 (D1)	"1,9,12"		b	"e,n,x"	
II	A/D	O:9 (D1)	"1,9,12"		d	"e,n,x"	
II	A/D	O:9 (D1)	"1,9,12"		"g,m,s,t"	"e,n,x"	
II	A/D	O:9 (D1)	"9,12"	"g,s,t/g,t"	"g,s,t"	"e,n,x"	
II	A/D	O:9 (D1)	"9,12"	mt/mptu	"m,t"	"e,n,x"	
II	A/D	O:9 (D1)	"9,12"	"l,v/l,z13"	"l,v"	"e,n,x"	
II	A/D	O:9 (D1)	"1,9,12"		"l,w"	"e,n,x"	
II	A/D	O:9 (D1)	"9,12"		"l,z28"	"e,n,x"	
II	A/D	O:9 (D1)	"1,9,12"		z29	"e,n,x"	
Yellowknife	A/D	O:9 (D1)	"9,12"		r	"e,n,x"	
Zaiman	A/D	O:9 (D1)	"9,12"	"l,v/l,z13"	"l,v"	"e,n,x"	
II	A/D	"O:9,46 (D2)"	"9,46"		b	"e,n,x"	
II	A/D	"O:9,46 (D2)"	"9,46"	mt/mptu	"m,t"	"e,n,x"	
II	A/D	"O:9,46 (D2)"	"9,46"		z	"e,n,x"	
Inglis	A/D	"O:9,46 (D2)"	"9,46"		z10	"e,n,x"	
Irchel	A/D	"O:9,46 (D2)"	"9,46"		y	"e,n,x"	
Toronto	A/D	"O:9,46 (D2)"	"9,46"	"l,v/l,z13"	"l,v"	"e,n,x"	
Worb	A/D	"O:9,46 (D2)"	"9,46"		b	"e,n,x"	
II	A/D	"O:9,46,27 (D3)"	"9,12,46,27"	"g,s,t/g,t"	"g,t"	"e,n,x"	
II	A/D	"O:9,46,27 (D3)"	"1,9,12,46,27"		z10	"e,n,x"	
Kisarawe	F	O:11 (F)	11		k	"e,n,x,[z15]"	
Euston	F	O:11 (F)	11	"r,i/r,[i]"	"r,i"	"e,n,x,z15"	
Woumbou	F	O:11 (F)	11		y	"e,n,x,z15"	
Haouaria	G	O:13 (G)	"13,22"		c	"e,n,x,z15"	
IIIb	I	O:16 (l)	16		(k)	"e,n,x,z15"	
IIIb	I	O:16 (l)	16		z10	"e,n,x,z15"	
II	J	O:17 (J)	17		b	"e,n,x,z15"	
IIIb	J	O:17 (J)	17	"l,v/l,z13"	"l,v"	"e,n,x,z15"	
IIIb	J	O:17 (J)	17		z10	"e,n,x,z15"	[z56]
II	K	O:18 (K)	18		y	"e,n,x,z15"	
IIIb	K	O:18 (K)	18	"l,v/l,z13"	"l,v"	"e,n,x,z15"	
IIIb	K	O:18 (K)	18		z10	"e,n,x,z15"	
IIIb	L	O:21 (L)	21		c	"e,n,x,z15"	
IIIb	L	O:21 (L)	21		i	"e,n,x,z15"	
IIIb	L	O:21 (L)	21		k	"e,n,x,z15"	
IIIb	L	O:21 (L)	21		z10	"e,n,x,z15"	
